Created by: G Romme, University of Toronto Libraries, GIS & Map Library,,
from Census of Canada, 2006: cartographic boundary file at the FSA level,,,
2008/04/17,,,,
,,,,
pruid,fsa,shape_area,shape_len,sq_km
24,G2A,2.79990276508e-03,0.39,24.20
24,G2B,1.356086013e-03,0.19,11.73
24,G2C,7.32527247557e-04,0.16,6.34
24,G2E,1.63641095677e-03,0.24,14.17
24,G2G,5.76621344993e-03,0.46,49.96
24,G2J,2.36326000801e-04,0.10,2.04
24,G2K,1.68473058953e-03,0.23,14.57
24,G2L,1.39152756618e-03,0.17,12.02
24,G2M,2.68063837897e-03,0.26,23.15
24,G2N,1.64970354502e-03,0.23,14.25
24,G3A,0.01,0.66,88.14
24,G3E,9.90713276908e-04,0.14,8.56
24,G3G,4.44055775844e-03,0.40,38.34
24,G3H,0.01,0.75,127.27
24,G3J,4.90266207854e-03,0.42,42.40
24,G3K,3.735042548e-03,0.36,32.33
24,G3L,0.20,2.90,1730.59
24,G3M,2.4088013738e-03,0.24,20.92
24,G3Z,0.07,1.71,669.37
24,G4A,7.12499872642e-03,0.59,60.27
24,G4R,2.41,11.18,18806.57
24,G4S,7.80949036085e-03,0.77,61.82
24,G4T,0.02,4.20,237.46
24,G4V,0.16,2.94,1391.52
24,G4W,9.92618858979e-03,0.92,81.68
24,G4X,0.21,4.51,1787.30
24,G4Z,3.69,11.50,29204.16
24,G5A,0.05,1.58,502.64
24,G5B,0.59,8.05,4665.30
24,G5C,0.97,8.60,7496.95
24,G5H,6.33590297345e-03,0.43,52.44
24,G5J,0.01,1.03,150.08
24,G5L,7.38115456119e-03,0.89,61.33
24,G5M,2.52377362743e-03,0.37,20.93
24,G5N,0.02,0.88,181.92
24,G5R,0.01,0.66,88.40
24,G5T,0.06,1.41,586.37
24,G5V,0.01,0.59,127.91
24,G5X,0.02,0.81,182.16
24,G5Y,0.01,1.14,129.77
24,G5Z,1.89476093239e-03,0.34,16.71
24,G6A,2.07909310675e-04,0.10,1.83
24,G6B,0.03,1.13,333.59
24,G6C,8.96895020816e-03,0.58,77.76
24,G6E,0.01,0.57,112.01
24,G6G,0.02,1.14,204.45
24,G6H,0.02,1.30,208.88
24,G6J,0.01,0.56,93.84
24,G6K,5.14550862486e-04,0.11,4.46
24,G6L,0.03,1.15,344.94
24,G6P,0.01,1.18,128.77
24,G6R,7.90093956544e-04,0.21,6.98
24,G6S,2.36677006239e-04,0.11,2.08
24,G6T,2.48411186774e-03,0.50,21.91
24,G6V,5.80390916436e-03,0.84,50.28
24,G6W,2.32137862216e-03,0.36,20.13
24,G6X,8.5791964838e-04,0.17,7.44
24,G6Z,0.01,0.62,91.33
24,G7A,0.01,0.67,103.04
24,G7B,0.05,1.75,446.11
24,G7G,2.65187597871e-03,0.34,22.02
24,G7H,0.02,1.52,170.75
24,G7J,2.21659954264e-03,0.25,18.41
24,G7K,1.38953156742e-03,0.16,11.56
24,G7N,0.06,1.66,579.48
24,G7P,0.02,1.04,232.16
24,G7S,4.44946424884e-03,0.43,36.96
24,G7X,0.07,2.21,652.45
24,G7Y,2.48222684104e-03,0.26,20.65
24,G7Z,1.20443541435e-03,0.18,10.00
24,G8A,8.50376333606e-04,0.17,7.06
24,G8B,0.01,1.07,116.10
24,G8C,7.47166347784e-04,0.18,6.19
24,G8E,0.01,0.61,112.94
24,G8G,0.03,0.98,258.50
24,G8H,0.02,0.74,188.60
24,G8J,0.06,2.11,511.64
24,G8K,0.04,1.33,382.77
24,G8L,2.12,13.49,16878.97
24,G8M,0.08,2.42,664.59
24,G8N,0.03,1.03,257.28
24,G8P,5.76,25.33,44672.98
24,G8T,2.5568905894e-03,0.68,22.38
24,G8V,4.32216873883e-03,0.44,37.81
24,G8W,6.92648434455e-03,0.62,60.59
24,G8Y,2.94167948059e-03,0.31,25.76
24,G8Z,9.70990760871e-04,0.18,8.50
24,G9A,5.02609969307e-03,0.72,44.03
24,G9B,9.46143845512e-03,0.68,82.98
24,G9C,1.92829838252e-03,0.28,16.87
24,G9H,0.05,1.51,459.57
24,G9N,7.07248755329e-03,0.81,61.66
24,G9P,2.93281527712e-03,0.26,25.59
24,G9R,4.15964492176e-03,0.73,36.19
24,G9T,0.01,0.74,111.68
24,G9X,1.41,14.37,12000.61
24,H1A,1.48675263241e-03,0.25,13.25
24,H1B,1.33468708601e-03,0.25,11.91
24,H1C,1.97336095057e-03,0.25,17.59
24,H1E,1.34384624066e-03,0.24,11.99
24,H1G,8.86429748054e-04,0.13,7.91
24,H1H,5.32546087348e-04,0.13,4.75
24,H1J,5.18554330245e-04,0.14,4.63
24,H1K,1.04462468007e-03,0.18,9.32
24,H1L,9.18260276847e-04,0.18,8.20
24,H1M,5.71063467194e-04,0.16,5.10
24,H1N,8.50829334464e-04,0.19,7.60
24,H1P,4.88133209942e-04,0.10,4.36
24,H1R,5.20045900833e-04,0.10,4.64
24,H1S,3.79661500658e-04,0.10,3.39
24,H1T,4.32662989814e-04,0.13,3.86
24,H1V,7.02468176278e-04,0.18,6.28
24,H1W,3.52309419744e-04,0.09,3.15
24,H1X,3.27621659405e-04,0.10,2.92
24,H1Y,2.84045830441e-04,0.09,2.54
24,H1Z,8.12897942545e-04,0.12,7.26
24,H2A,2.28726147098e-04,0.08,2.04
24,H2B,2.97482774092e-04,0.09,2.65
24,H2C,3.16593848446e-04,0.08,2.83
24,H2E,2.24575052697e-04,0.07,2.00
24,H2G,2.27421293593e-04,0.08,2.03
24,H2H,1.78469408062e-04,0.06,1.59
24,H2J,2.37723235398e-04,0.07,2.12
24,H2K,3.64392745977e-04,0.08,3.26
24,H2L,4.55251460561e-04,0.28,4.07
24,H2M,3.67670206984e-04,0.09,3.28
24,H2N,1.16201073289e-04,0.04,1.03
24,H2P,1.8184779277e-04,0.07,1.62
24,H2R,2.54142881668e-04,0.07,2.27
24,H2S,2.74526434095e-04,0.08,2.45
24,H2T,1.71825970181e-04,0.07,1.53
24,H2V,5.22277803172e-04,0.12,4.67
24,H2W,1.11882306745e-04,0.04,1.00
24,H2X,1.9794147486e-04,0.08,1.77
24,H2Y,9.6549005398e-05,0.05,0.86
24,H2Z,6.20398980837e-05,0.04,0.55
24,H3A,6.70077245788e-05,0.05,0.59
24,H3B,3.68702991591e-05,0.02,0.33
24,H3C,4.2087442737e-04,0.26,3.76
24,H3E,4.65840459926e-04,0.13,4.17
24,H3G,8.4767530362e-05,0.05,0.75
24,H3H,3.74099334119e-04,0.14,3.34
24,H3J,1.35960705358e-04,0.07,1.21
24,H3K,4.31150181308e-04,0.09,3.86
24,H3L,4.36220955167e-04,0.11,3.90
24,H3M,3.24283573247e-04,0.11,2.90
24,H3N,2.57867234492e-04,0.11,2.30
24,H3P,3.71705999498e-04,0.13,3.32
24,H3R,3.09835681379e-04,0.09,2.77
24,H3S,3.00700379685e-04,0.07,2.69
24,H3T,1.83487883957e-04,0.07,1.64
24,H3V,2.06063475138e-04,0.07,1.84
24,H3W,3.42494616393e-04,0.12,3.06
24,H3X,4.15285450262e-04,0.10,3.72
24,H3Y,3.15124512016e-04,0.09,2.82
24,H3Z,1.71234143313e-04,0.07,1.53
24,H4A,3.6488483319e-04,0.09,3.26
24,H4B,5.06987817839e-04,0.17,4.54
24,H4C,3.4829530788e-04,0.16,3.12
24,H4E,6.56203822594e-04,0.20,5.88
24,H4G,3.76674361114e-04,0.12,3.37
24,H4H,3.23362651331e-04,0.12,2.89
24,H4J,3.25113259527e-04,0.10,2.90
24,H4K,6.63093356943e-04,0.16,5.93
24,H4L,7.21364816212e-04,0.16,6.45
24,H4M,3.75863369853e-04,0.11,3.36
24,H4N,6.47575453789e-04,0.25,5.79
24,H4P,2.06078667572e-04,0.07,1.84
24,H4R,1.0306070506e-03,0.19,9.22
24,H4S,2.37112469824e-03,0.38,21.24
24,H4T,5.73960915095e-04,0.17,5.14
24,H4V,2.90120997313e-04,0.08,2.59
24,H4W,9.43675347663e-04,0.16,8.45
24,H4X,1.81398337272e-04,0.08,1.62
24,H7A,3.08662580396e-03,0.42,27.51
24,H7B,6.51788705136e-04,0.12,5.81
24,H7C,1.09937768815e-03,0.21,9.81
24,H7E,3.59976301166e-03,0.34,32.13
24,H7G,6.70860372605e-04,0.14,5.99
24,H7H,7.50675561115e-04,0.15,6.69
24,H7J,3.12206485434e-03,0.39,27.83
24,H7K,8.58632729347e-04,0.14,7.66
24,H7L,2.52184516266e-03,0.36,22.52
24,H7M,1.29707102163e-03,0.17,11.58
24,H7N,1.08029486242e-03,0.17,9.65
24,H7P,2.10891705563e-03,0.33,18.84
24,H7R,1.85605307546e-03,0.28,16.59
24,H7S,5.41025031169e-04,0.10,4.83
24,H7T,1.05210905053e-03,0.17,9.40
24,H7V,6.91455830288e-04,0.12,6.18
24,H7W,1.09642552687e-03,0.17,9.80
24,H7X,1.64253547664e-03,0.19,14.69
24,H7Y,7.2638650352e-04,0.20,6.49
24,H8N,7.12633966614e-04,0.14,6.39
24,H8P,8.63211030804e-04,0.50,7.74
24,H8R,1.75339891844e-03,0.53,15.73
24,H8S,6.67082673078e-04,0.32,5.98
24,H8T,3.71300506378e-04,0.10,3.32
24,H8Y,6.42507115589e-04,0.21,5.75
24,H8Z,5.20292145967e-04,0.12,4.65
24,H9A,5.21933685339e-04,0.12,4.67
24,H9B,1.03733211524e-03,0.17,9.29
24,H9C,1.11650136356e-03,0.16,9.99
24,H9E,1.50863040807e-03,0.23,13.51
24,H9G,5.48272945059e-04,0.11,4.91
24,H9H,1.04111388125e-03,0.19,9.32
24,H9J,1.30353737684e-03,0.41,11.68
